x= 0 y= 0 yaw= 0 dt= 0.209x= 0 y= 0 yaw= 0 dt= 0.137[-2.12065,-1.24778|-2.12066,-1.24779][-2.10207,-1.24778|-2.10208,-1.24779][-2.08583,-1.24778|-2.08583,-1.24779][-1.88385,-1.24778|-1.88386,-1.24778][-1.84207,-1.24778|-1.84207,-1.24778][-1.75154,-1.24778|-1.75154,-1.24778][-1.6935,-1.24778|-1.6935,-1.24778][-1.49617,-1.24778|-1.49617,-1.24778][-1.49153,-1.24778|-1.49153,-1.24778][-1.4776,-1.24778|-1.4776,-1.24778]
x= 0 y= 0 yaw= 0 dt= 0.136[-2.12065,-1.24778|-2.12065,-1.24778][-2.10207,-1.24778|-2.10208,-1.24778][-2.08583,-1.24778|-2.08583,-1.24778][-1.88385,-1.24778|-1.88385,-1.24778][-1.84206,-1.24778|-1.84207,-1.24778][-1.75154,-1.24778|-1.75154,-1.24778][-1.69349,-1.24778|-1.6935,-1.24778][-1.49617,-1.24778|-1.49617,-1.24778][-1.49153,-1.24778|-1.49153,-1.24778][-1.4776,-1.24778|-1.4776,-1.24778]
x= 0 y= 0 yaw= 0 dt= 0.146[-2.12065,-1.24778|-2.12065,-1.24778][-2.10207,-1.24778|-2.10208,-1.24778][-2.08583,-1.24778|-2.08583,-1.24778][-1.88384,-1.24778|-1.88385,-1.24778][-1.84204,-1.24778|-1.84206,-1.24778][-1.75154,-1.24778|-1.75154,-1.24778][-1.69349,-1.24778|-1.69349,-1.24778][-1.49616,-1.24777|-1.49617,-1.24778][-1.49152,-1.24778|-1.49153,-1.24778][-1.47759,-1.24777|-1.4776,-1.24778]
x= 0 y= 0 yaw= 0 dt= 0.221[-2.12066,-1.24778|-2.12066,-1.24778][-2.10207,-1.24778|-2.10208,-1.24778][-2.08583,-1.24778|-2.08583,-1.24778][-1.88384,-1.24778|-1.88384,-1.24778][-1.84204,-1.24777|-1.84204,-1.24778][-1.75154,-1.24778|-1.75154,-1.24778][-1.6935,-1.24778|-1.6935,-1.24778][-1.49617,-1.24778|-1.49616,-1.24778][-1.49153,-1.24778|-1.49152,-1.24778][-1.4776,-1.24778|-1.47759,-1.24777]
x= 0 y= 0 yaw= 0 dt= 0.212[-2.12065,-1.24778|-2.12066,-1.24778][-2.10207,-1.24779|-2.10208,-1.24778][-2.08582,-1.24778|-2.08583,-1.24778][-1.88385,-1.24778|-1.88384,-1.24778][-1.84204,-1.24777|-1.84204,-1.24777][-1.75153,-1.24778|-1.75154,-1.24778][-1.69349,-1.24777|-1.6935,-1.24778][-1.49617,-1.24777|-1.49617,-1.24778][-1.49153,-1.24777|-1.49153,-1.24778][-1.4776,-1.24778|-1.4776,-1.24778]
x= 0 y= 0 yaw= 0 dt= 0.209[-2.12064,-1.24778|-2.12065,-1.24778][-2.10205,-1.24778|-2.10207,-1.24779][-2.08581,-1.24778|-2.08582,-1.24779][-1.88384,-1.24778|-1.88385,-1.24778][-1.84204,-1.24777|-1.84204,-1.24777][-1.75154,-1.24778|-1.75154,-1.24778][-1.69349,-1.24777|-1.69349,-1.24777][-1.49617,-1.24777|-1.49617,-1.24777][-1.49153,-1.24777|-1.49153,-1.24777][-1.4776,-1.24777|-1.4776,-1.24778]
x= 0 y= 0 yaw= 0 dt= 0.136[-2.12064,-1.24777|-2.12064,-1.24778][-2.10204,-1.24778|-2.10205,-1.24778][-2.0858,-1.24778|-2.08581,-1.24778][-1.88384,-1.24778|-1.88384,-1.24778][-1.84204,-1.24777|-1.84204,-1.24777][-1.75154,-1.24778|-1.75154,-1.24778][-1.69349,-1.24777|-1.69349,-1.24777][-1.49617,-1.24777|-1.49617,-1.24777][-1.49153,-1.24777|-1.49153,-1.24777][-1.4776,-1.24778|-1.4776,-1.24778]
x= 0 y= 0 yaw= 0 dt= 0.211[-2.12063,-1.24777|-2.12064,-1.24778][-2.10204,-1.24778|-2.10204,-1.24778][-2.08581,-1.24778|-2.08581,-1.24778][-1.88384,-1.24778|-1.88384,-1.24778][-1.84204,-1.24777|-1.84204,-1.24777][-1.75152,-1.24778|-1.75154,-1.24778][-1.69349,-1.24777|-1.69349,-1.24777][-1.49617,-1.24777|-1.49617,-1.24777][-1.49153,-1.24777|-1.49153,-1.24777][-1.4776,-1.24777|-1.4776,-1.24778]
x= 0 y= 0 yaw= 0 dt= 0.214[-2.12063,-1.24777|-2.12063,-1.24777][-2.10203,-1.24777|-2.10204,-1.24778][-2.0858,-1.24778|-2.08581,-1.24778][-1.88384,-1.24778|-1.88384,-1.24778][-1.84204,-1.24777|-1.84204,-1.24777][-1.7515,-1.24778|-1.75153,-1.24778][-1.69347,-1.24777|-1.69349,-1.24777][-1.49617,-1.24777|-1.49617,-1.24777][-1.49152,-1.24777|-1.49154,-1.24777][-1.47759,-1.24777|-1.4776,-1.24778]
x= 0 y= 0 yaw= 0 dt= 0.214[-2.12063,-1.24776|-2.12063,-1.24777][-2.10202,-1.24777|-2.10203,-1.24778][-2.0858,-1.24778|-2.08581,-1.24778][-1.88384,-1.24778|-1.88384,-1.24778][-1.84204,-1.24777|-1.84204,-1.24778][-1.7515,-1.24778|-1.7515,-1.24778][-1.69347,-1.24776|-1.69347,-1.24777][-1.49616,-1.24777|-1.49617,-1.24777][-1.49152,-1.24777|-1.49152,-1.24777][-1.47759,-1.24778|-1.47759,-1.24777]
