x= 0 y= -0 yaw= 0 dt= 0.206x= 0 y= -0 yaw= 0 dt= 0.217[-2.12066,-1.24779|-2.12067,-1.24779][-2.10208,-1.24779|-2.10209,-1.24779][-2.08583,-1.24779|-2.08584,-1.24779][-1.88387,-1.24779|-1.88387,-1.24779][-1.84208,-1.24779|-1.84208,-1.24779][-1.75154,-1.24778|-1.75154,-1.24778][-1.6935,-1.24778|-1.6935,-1.24778][-1.49616,-1.24778|-1.49618,-1.24778][-1.49153,-1.24778|-1.49153,-1.24778][-1.47759,-1.24778|-1.4776,-1.24778]
x= 0 y= -0 yaw= 0 dt= 0.273[-2.12064,-1.24778|-2.12066,-1.24779][-2.10207,-1.24779|-2.10208,-1.24779][-2.08582,-1.24779|-2.08584,-1.24779][-1.88385,-1.24778|-1.88387,-1.24779][-1.84208,-1.24779|-1.84208,-1.24779][-1.75154,-1.24778|-1.75154,-1.24779][-1.6935,-1.24778|-1.69351,-1.24778][-1.49616,-1.24777|-1.49616,-1.24778][-1.49152,-1.24777|-1.49153,-1.24778][-1.47759,-1.24778|-1.47759,-1.24778]
x= 0 y= -0 yaw= 0 dt= 0.201[-2.12064,-1.24778|-2.12064,-1.24778][-2.10207,-1.24778|-2.10208,-1.24779][-2.08583,-1.24779|-2.08582,-1.24779][-1.88386,-1.24779|-1.88386,-1.24779][-1.84208,-1.24779|-1.84208,-1.24779][-1.75154,-1.24778|-1.75154,-1.24779][-1.69351,-1.24778|-1.69351,-1.24779][-1.49616,-1.24777|-1.49616,-1.24777][-1.49152,-1.24777|-1.49152,-1.24777][-1.47759,-1.24778|-1.47759,-1.24778]
x= 0 y= -0 yaw= 0 dt= 0.273[-2.12063,-1.24779|-2.12064,-1.24778][-2.10206,-1.24779|-2.10208,-1.24778][-2.08581,-1.24779|-2.08583,-1.24779][-1.88386,-1.24779|-1.88386,-1.24779][-1.84206,-1.24779|-1.84208,-1.24779][-1.75154,-1.24778|-1.75154,-1.24778][-1.69348,-1.24778|-1.69351,-1.24779][-1.49616,-1.24778|-1.49616,-1.24778][-1.49151,-1.24777|-1.49152,-1.24777][-1.47759,-1.24778|-1.4776,-1.24778]
x= 0 y= -0 yaw= 0 dt= 0.214[-2.12063,-1.24779|-2.12064,-1.24779][-2.10206,-1.24779|-2.10206,-1.24779][-2.08581,-1.24779|-2.08582,-1.24779][-1.88386,-1.24779|-1.88386,-1.24779][-1.84206,-1.24779|-1.84206,-1.24779][-1.75154,-1.24778|-1.75154,-1.24778][-1.69348,-1.24778|-1.69348,-1.24778][-1.49615,-1.24778|-1.49616,-1.24778][-1.49151,-1.24777|-1.49151,-1.24777][-1.47758,-1.24778|-1.47759,-1.24778]
x= 0 y= -0 yaw= 0 dt= 0.284[-2.12062,-1.24778|-2.12063,-1.24779][-2.10206,-1.24778|-2.10206,-1.24779][-2.08581,-1.24779|-2.08582,-1.24779][-1.88385,-1.24779|-1.88386,-1.24779][-1.84206,-1.24779|-1.84207,-1.24779][-1.75153,-1.24778|-1.75154,-1.24778][-1.69348,-1.24778|-1.69348,-1.24778][-1.49616,-1.24778|-1.49616,-1.24778][-1.49151,-1.24777|-1.49151,-1.24777][-1.47758,-1.24778|-1.47759,-1.24778]
x= 0 y= -0 yaw= 0 dt= 0.272[-2.12062,-1.24778|-2.12062,-1.24778][-2.10204,-1.24779|-2.10206,-1.24779][-2.08581,-1.24779|-2.08581,-1.24779][-1.88386,-1.24779|-1.88386,-1.24779][-1.84206,-1.24779|-1.84207,-1.24779][-1.75152,-1.24778|-1.75154,-1.24778][-1.69348,-1.24778|-1.69349,-1.24778][-1.49616,-1.24778|-1.49616,-1.24778][-1.49151,-1.24777|-1.49151,-1.24778][-1.47757,-1.24778|-1.47758,-1.24778]
x= 0 y= -0 yaw= 0 dt= 0.21[-2.12062,-1.24779|-2.12062,-1.24779][-2.10203,-1.24777|-2.10204,-1.24779][-2.0858,-1.24778|-2.08581,-1.24779][-1.88386,-1.24779|-1.88386,-1.24779][-1.84207,-1.24779|-1.84206,-1.24779][-1.75152,-1.24778|-1.75152,-1.24779][-1.69349,-1.24778|-1.69349,-1.24779][-1.49616,-1.24778|-1.49616,-1.24778][-1.4915,-1.24778|-1.49151,-1.24778][-1.47758,-1.24778|-1.47758,-1.24778]
x= 0 y= -0 yaw= -0.00105817 dt= 0.275[-2.12125,-1.24825|-2.12,-1.24742][-2.10259,-1.24819|-2.10142,-1.24741][-2.08641,-1.24822|-2.08519,-1.24742][-1.8844,-1.24819|-1.88331,-1.24743][-1.84251,-1.24816|-1.84153,-1.24743][-1.75208,-1.24824|-1.75102,-1.24742][-1.69399,-1.24823|-1.69299,-1.24742][-1.49655,-1.24816|-1.49573,-1.24742][-1.49192,-1.24817|-1.49107,-1.24741][-1.47794,-1.24821|-1.47715,-1.24742]
x= 0.00557927 y= -2.31539e-07 yaw= -0.00172032 dt= 0.276[-2.12468,-1.25048|-2.11642,-1.2454][-2.10567,-1.25025|-2.09779,-1.24534][-2.08969,-1.25034|-2.08165,-1.24538][-1.88766,-1.25033|-1.8801,-1.24534][-1.84532,-1.25089|-1.8383,-1.24531][-1.755,-1.25034|-1.74808,-1.24539][-1.69676,-1.25037|-1.69012,-1.24538][-1.49882,-1.25039|-1.49314,-1.24531][-1.49429,-1.25036|-1.48852,-1.24532][-1.48034,-1.2504|-1.47457,-1.24537]
x= 0.0133786 y= 5.3011e-08 yaw= -0.00356833 dt= 0.201[-2.12629,-1.25157|-2.11463,-1.24456][-2.10662,-1.25095|-2.0957,-1.24433][-2.09108,-1.25134|-2.07981,-1.24442][-1.75617,-1.25144|-1.74669,-1.24443][-1.69815,-1.2513|-1.68873,-1.24445][-1.49979,-1.25153|-1.49173,-1.24447][-1.49527,-1.25141|-1.48722,-1.24444][-1.48151,-1.25129|-1.47333,-1.24448][-1.45347,-1.25136|-1.44568,-1.24444][-1.42974,-1.25158|-1.42252,-1.24456]
x= 0.0236242 y= -1.86397e-07 yaw= -0.00804961 dt= 0.198[-2.15629,-1.24806|-2.14109,-1.2389][-1.44738,-1.24784|-1.43723,-1.23903][-1.30346,-1.24819|-1.29422,-1.2387][-0.389593,-1.24778|-0.387425,-1.23875][-0.366163,-1.24773|-0.364316,-1.23873][-0.355529,-1.24762|-0.353206,-1.23876][-1.98398,-1.24545|-1.97001,-1.23679][-1.97389,-1.24541|-1.9599,-1.23676][-1.96495,-1.24543|-1.95106,-1.23679][-1.92036,-1.24551|-1.90734,-1.23676]
x= 0.0385659 y= -2.68852e-06 yaw= -0.011004 dt= 0.289[-1.85432,-1.23959|-1.82527,-1.23536][-1.80718,-1.23113|-1.80727,-1.23519][-2.12592,-1.24311|-2.10416,-1.2301][-2.05263,-1.24175|-2.03138,-1.22867][-2.04767,-1.24123|-2.02675,-1.22823][-2.01293,-1.24112|-1.99203,-1.22775][-1.75108,-1.2408|-1.73316,-1.2279][-1.72297,-1.24093|-1.70516,-1.22821][-1.69274,-1.24234|-1.67574,-1.22897][-1.67452,-1.24116|-1.65773,-1.22822]
x= 0.0525757 y= -4.99846e-06 yaw= -0.0133735 dt= 0.278[-1.80676,-1.2308|-1.78872,-1.21855][-1.94899,-1.23612|-1.92958,-1.22362][-1.84403,-1.23628|-1.82586,-1.22364][-1.76484,-1.21725|-1.72817,-1.22374][-1.73168,-1.2368|-1.7145,-1.22371][-1.70176,-1.23654|-1.6846,-1.22408][-1.64896,-1.23603|-1.63189,-1.22323][-1.41558,-1.23714|-1.40093,-1.2236][-0.878738,-1.23711|-0.869408,-1.2238][-0.63135,-1.2364|-0.625047,-1.22386]
x= 0.0671384 y= -7.47671e-06 yaw= -0.0160095 dt= 0.291[-1.80686,-1.23097|-1.78832,-1.21824][-1.76507,-1.21754|-1.74682,-1.20483][-1.69231,-1.22542|-1.68439,-1.22392][-1.73814,-1.229|-1.72013,-1.21605][-2.12146,-1.23063|-2.09956,-1.2177][-2.08206,-1.2294|-2.06052,-1.21677][-2.06154,-1.22996|-2.04021,-1.21705][-2.03638,-1.22903|-2.01485,-1.21668][-2.02716,-1.22887|-2.00573,-1.21656][-1.99893,-1.23008|-1.9784,-1.21664]
x= 0.0783886 y= -9.86001e-06 yaw= -0.0181586 dt= 0.223[-1.76292,-1.21618|-1.74877,-1.20629][-1.69011,-1.22408|-1.67668,-1.21411][-1.76437,-1.21965|-1.75019,-1.20982][-2.16351,-1.22294|-2.14592,-1.21261][-1.99641,-1.22398|-1.98015,-1.21324][-1.93363,-1.22453|-1.9179,-1.21278][-1.85241,-1.22456|-1.83659,-1.2138][-1.81193,-1.22357|-1.7974,-1.21261][-1.75353,-1.22257|-1.73945,-1.2127][-1.70217,-1.22332|-1.68854,-1.21312]
